"gene","terms","newTerms"
"YBR245C","nucle;regulation;ion;positive;negative;histone;transcription;ATP","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;positive regulation of biological process;negative regulation of biological process;regulation of metabolic process;multicellular organismal process;positive regulation of cellular process;negative regulation of cellular process;chromatin organization;organelle organization;cellular component organization;chromosome organization;cellular component organization or biogenesis;macromolecule metabolic process;nucleobase-containing compound metabolic process;molecular_function;catalytic activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;pyrophosphatase activity;nucleoside-triphosphatase activity;ATPase activity;ATPase activity, coupled"
"YJL216C","cellular_component;catabolic process;","cellular_component;all;biological_process;metabolic process;catabolic process;organic substance metabolic process;organic substance catabolic process;cellular process;cellular metabolic process;cellular catabolic process;primary metabolic process"
"YBR210W",";transport;ion;molecular_function","all;biological_process;localization;establishment of localization;transport;organic substance transport;molecular_function;transporter activity;transmembrane transporter activity;ion transport;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YPL103C","membrane;mitochond;metabolic process;","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;metabolic process;cellular metabolic process;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;small molecule metabolic process;organic cyclic compound metabolic process"
"YIL103W",";;molecular_function","molecular_function"
"YIL152W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YJR096W",";catabolic process;ADP","all;biological_process;metabolic process;catabolic process;organic substance metabolic process;organic substance catabolic process;cellular process;cellular metabolic process;cellular catabolic process;primary metabolic process;molecular_function;catalytic activity;oxidoreductase activity;oxidoreductase activity, acting on CH-OH group of donors;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
"YAL010C","mitochond;ion;transport;protein;molecular_function","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;establishment of localization;transport;organic substance transport;molecular_function;transporter activity;transmembrane transporter activity;ion transport;macromolecule metabolic process;primary metabolic process"
"YGR143W","membrane;ion;","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YGR112W","membrane;mitochond;;","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;metabolic process;cellular metabolic process;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process"
"YLR256W",";;",""
"YHR174W","mitochond;membrane;cytoplasm;regulation;ion;","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;regulation of cellular process;positive regulation of biological process;negative regulation of biological process;regulation of metabolic process;multicellular organismal process"
"YOR012W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YHR062C","nucle;cytosol;catabolic process;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;localization;transport;establishment of localization;biological regulation;cellular ion homeostasis;cellular calcium ion homeostasis;cellular metal ion homeostasis;catabolic process;organic substance catabolic process;cellular catabolic process"
"YDL213C","nucle;nucleolus;;rRNA binding","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;intracellular;cell;nucleus;protein localization;membrane-enclosed lumen;nuclear lumen;macromolecule localization;molecular_function;nucleic acid binding;RNA binding;binding;organic cyclic compound binding;heterocyclic compound binding"
"YDR317W","cellular_component;repair;molecular_function","cellular_component;all;biological_process;cellular process;response to stimulus;metabolic process;cellular metabolic process;response to stress;nitrogen compound metabolic process;macromolecule metabolic process;primary metabolic process;organic substance metabolic process;cellular macromolecule metabolic process;cellular response to stimulus;nucleobase-containing compound metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;heterocycle metabolic process;nucleic acid metabolic process;organic cyclic compound metabolic process;molecular_function"
"YDR478W",";;",""
"YKL097C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YNL106C","cytoplasm;ion;","all;biological_process;cellular_component;cell;cell part;intracellular;intracellular part;cellular process;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YOR378W","membrane;transport;transmembrane;transporter","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;organic substance transport;ion transport;ion transmembrane transporter activity;inorganic molecular entity transmembrane transporter activity;anion transmembrane transporter activity;organic anion transmembrane transporter activity;organic acid transmembrane transporter activity;carboxylic acid transmembrane transporter activity"
"YFR015C",";;",""
"YMR230W","cytosol;ribosomal;ion;","all;biological_process;cellular process;localization;transport;establishment of localization;biological regulation;cellular ion homeostasis;cellular calcium ion homeostasis;cellular metal ion homeostasis;ribonucleoprotein complex biogenesis;ribosome biogenesis;cellular component biogenesis;cellular component organization or biogenesis;regulation of biological process;cellular_component;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YIL092W",";biological_process;molecular_function","biological_process;molecular_function"
"YLR321C",";repair;ion;regulation;","all;biological_process;cellular process;response to stimulus;metabolic process;cellular metabolic process;response to stress;nitrogen compound metabolic process;macromolecule metabolic process;primary metabolic process;organic substance metabolic process;cellular macromolecule metabolic process;cellular response to stimulus;nucleobase-containing compound metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;heterocycle metabolic process;nucleic acid metabolic process;organic cyclic compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;positive regulation of biological process;negative regulation of biological process;regulation of metabolic process"
"YGR052W",";protein;ion;kinase","all;biological_process;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;regulation of cellular process;multicellular organismal process;cellular metabolic process;molecular_function;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;kinase activity;phosphotransferase activity, alcohol group as acceptor"
"YJR161C",";protein;catabolic process;targeting;molecular_function","all;biological_process;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;catabolic process;organic substance catabolic process;cellular metabolic process;cellular catabolic process;transport;localization;establishment of localization;cellular localization;establishment of localization in cell;intracellular transport;intracellular protein transport;protein localization;protein transport;peptide transport;macromolecule localization;cellular protein localization;amide transport;establishment of protein localization;cellular macromolecule localization;organic substance transport;nitrogen compound transport;molecular_function"
"SCER_lnc1488",";;",""
"YAL066W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YOR278W","cellular_component;;","cellular_component"
"YNL085W","cytoplasm;nucle;ion;","all;biological_process;cellular_component;cell;cell part;intracellular;intracellular part;cellular process;cytoplasm;cytoplasmic part;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process"
"YGL061C",";positive;regulation;ion;","all;biological_process;biological regulation;regulation of biological process;positive regulation of biological process;cellular process;regulation of cellular process;positive regulation of cellular process;metabolic process;regulation of metabolic process;negative regulation of biological process;multicellular organismal process;organic substance metabolic process;cellular metabolic process"
"YPL210C","endoplasm;protein;ion;targeting;","all;biological_process;cellular process;cellular_component;biological regulation;cell;cell part;intracellular;cytoplasm;intracellular part;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;regulation of cellular process;multicellular organismal process;cellular metabolic process;transport;localization;establishment of localization;cellular localization;establishment of localization in cell;intracellular transport;intracellular protein transport;protein localization;protein transport;peptide transport;macromolecule localization;cellular protein localization;amide transport;establishment of protein localization;cellular macromolecule localization;organic substance transport;nitrogen compound transport"
"YOR087W","membrane;mitochond;ion;calcium channel","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;metabolic process;cellular metabolic process;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;ion channel activity;cation channel activity;cation transmembrane transporter activity;ion transmembrane transporter activity;calcium ion transmembrane transporter activity;channel activity;inorganic molecular entity transmembrane transporter activity;passive transmembrane transporter activity;substrate-specific channel activity;inorganic cation transmembrane transporter activity;metal ion transmembrane transporter activity"
"YGL234W",";;",""
"YOR347C","mitochond;metabolic process;kinase","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;small molecule metabolic process;organic cyclic compound metabolic process;molecular_function;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;kinase activity;phosphotransferase activity, alcohol group as acceptor;regulation of biological process;biological regulation"
"YPR093C","nucle;cytoplasm;protein;ion;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;macromolecule metabolic process;regulation of cellular process;multicellular organismal process"
"YAL029C",";ion;","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YOL155C","extracellular;ion;","all;biological_process;cellular process;cellular_component;biological regulation;extracellular region;cellular component organization or biogenesis;extracellular region part;regulation of biological process;cellular component organization;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YDR421W","nucle;catabolic process;positive;regulation;ion;transcription;RNA polymerase","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;catabolic process;organic substance catabolic process;cellular catabolic process;biological regulation;regulation of biological process;positive regulation of biological process;regulation of cellular process;positive regulation of cellular process;regulation of metabolic process;negative regulation of biological process;multicellular organismal process;macromolecule metabolic process;nucleobase-containing compound metabolic process;RNA metabolic process"
"YGR186W",";ion;regulation;protein;transcription;RNA polymerase","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;positive regulation of biological process;negative regulation of biological process;regulation of metabolic process;macromolecule metabolic process;nitrogen compound metabolic process;primary metabolic process;nucleobase-containing compound metabolic process;cellular aromatic compound metabolic process;RNA metabolic process;cellular nitrogen compound metabolic process"
"YDR294C","endoplasm;nucle;metabolic process;starvation;ion;","all;biological_process;cellular process;cellular_component;biological regulation;cell;cell part;intracellular;cytoplasm;intracellular part;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;small molecule metabolic process;organic cyclic compound metabolic process;response to stress;response to external stimulus;response to extracellular stimulus;response to nutrient levels;response to stimulus;response to starvation;cell communication;cellular response to stress;cellular response to stimulus;cellular response to extracellular stimulus;cellular response to nutrient levels;cellular response to external stimulus;cellular response to starvation;regulation of biological process;regulation of cellular process;multicellular organismal process"
"YHR135C","membrane;protein;ion;kinase","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;regulation of cellular process;multicellular organismal process;cellular metabolic process;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;kinase activity;phosphotransferase activity, alcohol group as acceptor"
"YDR015C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YBR181C","cytosol;ribosomal;ion;","all;biological_process;cellular process;localization;transport;establishment of localization;biological regulation;cellular ion homeostasis;cellular calcium ion homeostasis;cellular metal ion homeostasis;ribonucleoprotein complex biogenesis;ribosome biogenesis;cellular component biogenesis;cellular component organization or biogenesis;regulation of biological process;cellular_component;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YOR078W","nucle;nucleolus;ion;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;intracellular;cell;nucleus;protein localization;membrane-enclosed lumen;nuclear lumen;macromolecule localization;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process"
"YOR243C","nucle;cytoplasm;;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part"
"YMR165C","cytosol;membrane;nucle;ion;transcription","all;biological_process;cellular process;localization;transport;establishment of localization;biological regulation;cellular ion homeostasis;cellular calcium ion homeostasis;cellular metal ion homeostasis;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;regulation of biological process;regulation of cellular process;multicellular organismal process;macromolecule metabolic process;nucleobase-containing compound metabolic process"
"YCR005C","cytoplasm;metabolic process;","all;biological_process;cellular_component;cell;cell part;intracellular;intracellular part;cellular process;cytoplasm;cytoplasmic part;metabolic process;organic substance metabolic process;cellular metabolic process;primary metabolic process;nitrogen compound metabolic process;small molecule metabolic process;organic cyclic compound metabolic process"
"YGR296W","nucle;ion;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process"
"YPR055W",";transport;molecular_function","all;biological_process;localization;establishment of localization;transport;organic substance transport;molecular_function;transporter activity;transmembrane transporter activity;ion transport"
"YHR037W","mitochond;catabolic process;dehydrogenase","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;catabolic process;organic substance catabolic process;cellular catabolic process;primary metabolic process;molecular_function;catalytic activity;oxidoreductase activity;oxidoreductase activity, acting on CH-OH group of donors;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;oxidoreductase activity, acting on the aldehyde or oxo group of donors;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;oxidoreductase activity, acting on the CH-CH group of donors;oxidoreductase activity, acting on the CH-NH group of donors;oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor;cellular_component;protein-containing complex;steroid dehydrogenase activity;catalytic complex"
"YLR032W","nucle;protein;ion;repair;ATP","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;macromolecule metabolic process;regulation of cellular process;multicellular organismal process;response to stimulus;response to stress;cellular macromolecule metabolic process;cellular response to stimulus;nucleobase-containing compound metabolic process;heterocycle metabolic process;nucleic acid metabolic process;organic cyclic compound metabolic process;molecular_function;catalytic activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;pyrophosphatase activity;nucleoside-triphosphatase activity;ATPase activity;ATPase activity, coupled"
"YDR114C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YLL030C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YLL065W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YBR099C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YBL027W","cytosol;ribosomal;ion;","all;biological_process;cellular process;localization;transport;establishment of localization;biological regulation;cellular ion homeostasis;cellular calcium ion homeostasis;cellular metal ion homeostasis;ribonucleoprotein complex biogenesis;ribosome biogenesis;cellular component biogenesis;cellular component organization or biogenesis;regulation of biological process;cellular_component;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YOL060C",";ion;molecular_function","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;molecular_function"
"YBL033C",";;hydrolase","all;molecular_function;catalytic activity;hydrolase activity;hydrolase activity, acting on ester bonds;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides;carboxylic ester hydrolase activity"
"YNL232W","nucle;cytoplasm;catabolic process;ion;molecular_function","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part;catabolic process;organic substance catabolic process;cellular catabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;molecular_function"
"YDL076C",";negative;regulation;ion;molecular_function","all;biological_process;biological regulation;regulation of biological process;negative regulation of biological process;cellular process;regulation of cellular process;negative regulation of cellular process;metabolic process;regulation of metabolic process;positive regulation of biological process;multicellular organismal process;organic substance metabolic process;cellular metabolic process;molecular_function"
"YOR225W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YDR120C","nucle;membrane;mitochond;ion;tRNA","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular component organization or biogenesis;cellular component organization;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;nucleobase-containing compound metabolic process;macromolecule metabolic process"
"YLR465C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YJL192C","endoplasm;membrane;transport;molecular_function","all;biological_process;cellular process;cellular_component;biological regulation;cell;cell part;intracellular;cytoplasm;intracellular part;localization;establishment of localization;transport;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;organic substance transport;ion transport"
"YLR054C","membrane;cytoplasm;;molecular_function","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cell;cell part;intracellular;intracellular part;cellular process;cytoplasm;cytoplasmic part"
"YLR009W","nucle;nucleolus;;ATP","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;intracellular;cell;nucleus;protein localization;membrane-enclosed lumen;nuclear lumen;macromolecule localization;molecular_function;catalytic activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;pyrophosphatase activity;nucleoside-triphosphatase activity;ATPase activity;ATPase activity, coupled"
"YDR063W","cytoplasm;negative;regulation;ion;molecular_function","all;biological_process;cellular_component;cell;cell part;intracellular;intracellular part;cellular process;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;negative regulation of biological process;regulation of cellular process;negative regulation of cellular process;metabolic process;regulation of metabolic process;positive regulation of biological process;multicellular organismal process;organic substance metabolic process;cellular metabolic process;molecular_function"
"YBR209W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YOR292C",";biological_process;molecular_function","biological_process;molecular_function"
"YER044C","membrane;endoplasm;;","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;biological regulation;cell;cell part;intracellular;cytoplasm;intracellular part"
"YDR278C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YLR105C","nucle;membrane;mitochond;ion;tRNA","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular component organization or biogenesis;cellular component organization;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;nucleobase-containing compound metabolic process;macromolecule metabolic process"
"YML091C","nucle;mitochond;cytoplasm;ion;positive;regulation;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;localization;cellular component organization or biogenesis;cellular component organization;cellular_component;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;positive regulation of biological process;positive regulation of cellular process;regulation of metabolic process;negative regulation of biological process"
"YHR191C",";ion;molecular_function","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;molecular_function"
"YDL098C",";;molecular_function","molecular_function"
"YLR202C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YKR005C",";biological_process;molecular_function","biological_process;molecular_function"
"YMR143W","cytosol;ribosomal;ion;","all;biological_process;cellular process;localization;transport;establishment of localization;biological regulation;cellular ion homeostasis;cellular calcium ion homeostasis;cellular metal ion homeostasis;ribonucleoprotein complex biogenesis;ribosome biogenesis;cellular component biogenesis;cellular component organization or biogenesis;regulation of biological process;cellular_component;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YCR063W",";;molecular_function","molecular_function"
"YNL189W","nucle;cytoplasm;protein;targeting;ion;transporter","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;macromolecule metabolic process;transport;localization;establishment of localization;cellular localization;establishment of localization in cell;intracellular transport;intracellular protein transport;protein localization;protein transport;peptide transport;macromolecule localization;cellular protein localization;amide transport;establishment of protein localization;cellular macromolecule localization;organic substance transport;nitrogen compound transport;regulation of cellular process;multicellular organismal process;molecular_function;transporter activity;transmembrane transporter activity;ion transmembrane transporter activity;inorganic molecular entity transmembrane transporter activity;anion transmembrane transporter activity;organic anion transmembrane transporter activity;organic acid transmembrane transporter activity;carboxylic acid transmembrane transporter activity"
"YCL047C",";;",""
"YGL122C","nucle;cytoplasm;ion;regulation;positive;negative;catabolic process;tRNA;rRNA binding","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;positive regulation of biological process;negative regulation of biological process;regulation of metabolic process;positive regulation of cellular process;negative regulation of cellular process;catabolic process;organic substance catabolic process;cellular catabolic process;nucleobase-containing compound metabolic process;macromolecule metabolic process;molecular_function;nucleic acid binding;RNA binding;binding;organic cyclic compound binding;heterocyclic compound binding"
"YDL018C","membrane;transport;molecular_function","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;organic substance transport;ion transport"
"YNL303W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YPR160W","cytoplasm;catabolic process;","all;biological_process;cellular_component;cell;cell part;intracellular;intracellular part;cellular process;cytoplasm;cytoplasmic part;metabolic process;catabolic process;organic substance metabolic process;organic substance catabolic process;cellular metabolic process;cellular catabolic process;primary metabolic process"
"YBL060W",";protein;ion;positive;regulation;","all;biological_process;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;regulation of cellular process;multicellular organismal process;cellular metabolic process;positive regulation of biological process;positive regulation of cellular process;regulation of metabolic process;negative regulation of biological process"
"YBR019C","cytosol;catabolic process;","all;biological_process;cellular process;localization;transport;establishment of localization;biological regulation;cellular ion homeostasis;cellular calcium ion homeostasis;cellular metal ion homeostasis;metabolic process;catabolic process;organic substance metabolic process;organic substance catabolic process;cellular metabolic process;cellular catabolic process;primary metabolic process"
"YKL056C","mitochond;cytosol;cytoplasm;ion;molecular_function","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;transport;establishment of localization;biological regulation;cellular ion homeostasis;cellular calcium ion homeostasis;cellular metal ion homeostasis;cellular_component;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part;regulation of biological process;regulation of cellular process;multicellular organismal process;molecular_function"
"YGR160W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YDL163W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YPL068C",";biological_process;molecular_function","biological_process;molecular_function"
"YJR057W","nucle;cytoplasm;;kinase","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part;molecular_function;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;kinase activity;phosphotransferase activity, alcohol group as acceptor;regulation of biological process;biological regulation"
"YGL211W","cytosol;ion;protein;tRNA","all;biological_process;cellular process;localization;transport;establishment of localization;biological regulation;cellular ion homeostasis;cellular calcium ion homeostasis;cellular metal ion homeostasis;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;macromolecule metabolic process;nitrogen compound metabolic process;primary metabolic process;nucleobase-containing compound metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process"
"YFL032W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YLR377C","cytosol;metabolic process;","all;biological_process;cellular process;localization;transport;establishment of localization;biological regulation;cellular ion homeostasis;cellular calcium ion homeostasis;cellular metal ion homeostasis;metabolic process;organic substance metabolic process;cellular metabolic process;primary metabolic process;nitrogen compound metabolic process;small molecule metabolic process;organic cyclic compound metabolic process"
